,12086,36119
2020-04-25,309.8994382740036,394.87142525523683
2020-04-26,310.7164437941344,412.1867635456673
2020-04-27,292.8622062125768,423.04258574346505
2020-04-28,315.1261963177272,425.3033018053987
2020-04-29,269.67547509135113,408.48146479673824
2020-04-30,301.5368630682002,390.78270096400564
2020-05-01,272.065284352829,398.7854334453452
2020-05-02,244.43600026375293,391.45005980315364
2020-05-03,236.49412399753393,372.25100438315286
2020-05-04,229.6497701913014,352.6939513064756
2020-05-05,203.11268890581263,342.1085504134917
2020-05-06,208.75078707636513,316.7892651443866
2020-05-07,156.49189009871364,275.7069131663501
2020-05-08,149.4268067499713,223.33371666576502
2020-05-09,175.35594325352056,200.90748838664294
2020-05-10,149.115213978482,185.65629613048745
2020-05-11,162.0737636615029,172.7687193894389
2020-05-12,148.27969418688602,166.22346035904505
2020-05-13,156.81533314462922,148.36216419218724
2020-05-14,164.2223998448821,143.8634638737008
2020-05-15,137.7758657362981,145.9667563054659
2020-05-16,133.91925809874422,121.04830830181454
2020-05-17,136.47589391824843,118.67128735609195
2020-05-18,115.50498684471017,110.10036215283851
2020-05-19,138.1023193221394,107.74907366742985
2020-05-20,129.3759601496202,105.00036590341973
2020-05-21,149.30032152271872,94.85882838646302
2020-05-22,176.5478588695395,92.81373889747006
2020-05-23,204.42476831953564,93.45065754037486
2020-05-24,220.29021263535114,85.90775366450866
2020-05-25,236.1316678346023,89.30601109375493
2020-05-26,210.4546146036082,89.447571001236
2020-05-27,206.58464950011526,89.2035223662118
2020-05-28,217.40907404544984,88.61879821901
2020-05-29,192.7385618225669,81.90278371678365
2020-05-30,174.0421372185876,75.38768907281214
2020-05-31,161.1376753075431,68.72440893518795
2020-06-01,156.1678677627951,68.28151930716069
2020-06-02,159.9395419494607,64.45592936642913
2020-06-03,158.37649775872322,59.79967828225735
2020-06-04,134.0875704978293,53.26930498441916
2020-06-05,142.46606709896312,48.57501445983681
2020-06-06,148.1768580750531,44.25404859800469
2020-06-07,153.4416773662638,41.04404050731247
2020-06-08,148.47522093807584,39.28522102343438
2020-06-09,138.62123213704763,44.023651205808754
2020-06-10,172.63136938099197,40.93263965387187
2020-06-11,191.16924875061918,37.651038718503614
2020-06-12,201.9902397783717,44.20026459186313
2020-06-13,212.98433408293968,43.47290525367201
2020-06-14,240.06445691311717,40.61061737654388
2020-06-15,246.57563155290157,38.284856923426425
2020-06-16,273.4638177629293,33.949031229336256
2020-06-17,295.76902551486586,31.759576791869833
2020-06-18,294.85005223686807,28.240506828097658
2020-06-19,306.2514130513531,24.827371044725723
2020-06-20,394.62664962007534,26.209666252821556
2020-06-21,426.4853147697257,29.73440165871312
2020-06-22,445.1170017951474,29.183101785593262
2020-06-23,504.94536030647504,30.847422449817092
2020-06-24,553.3597388674979,30.530580803583778
2020-06-25,618.2171105994857,29.038062305804058
2020-06-26,672.8548100696339,27.567371163888186
2020-06-27,686.8968592403533,21.81785006995964
2020-06-28,750.9324175033062,22.695603163445938
2020-06-29,806.9474254334904,20.9356408165467
2020-06-30,825.1738092763413,21.19824314896079
2020-07-01,895.6802346124987,19.84957347491886
2020-07-02,959.4723329516369,23.526313543212762
2020-07-03,1115.0102303218814,25.28184527379301
2020-07-04,1213.5416380078045,29.072036141466818
2020-07-05,1424.0774368662226,27.042622986761543
2020-07-06,1584.9490572928382,26.13769916472261
2020-07-07,1743.4407861122625,27.045634127323773
2020-07-08,1769.206416111888,28.784893883370533
2020-07-09,1972.8106885934058,28.416099103878988
2020-07-10,2062.072665643771,31.189694499651385
2020-07-11,2200.9047344392607,29.10618361046221
2020-07-12,2222.9136183744854,28.991934895233587
2020-07-13,2285.3828957335154,30.99897082617664
2020-07-14,2349.845816070183,27.264025657150306
2020-07-15,2597.798629487892,31.367017533840908
2020-07-16,2546.4184804757765,28.938491762177335
2020-07-17,2585.5411423080936,24.51710171233405
2020-07-18,2604.289507824483,25.260704413395082
2020-07-19,2789.775733574913,26.930902196753657
2020-07-20,2958.1049209706744,25.813016249227783
2020-07-21,2930.5472884550877,27.48239507984028
2020-07-22,2866.1911417763067,26.25069308688696
2020-07-23,2993.424832841417,25.439273427367755
2020-07-24,2985.5129148996098,25.89621960198101
2020-07-25,3069.2389273645117,27.941446111896074
2020-07-26,2966.8264368693212,23.156713075216533
2020-07-27,2876.7422949944335,25.589991792597846
2020-07-28,2896.2231105701417,25.541170934552465
2020-07-29,2910.7340817983318,28.896136573785785
2020-07-30,2817.195369217513,30.10883699872538
2020-07-31,2902.850796940148,28.627610829619847
2020-08-01,2916.440980279158,29.53836444194153
2020-08-02,2822.9543023741044,34.76538885874991
2020-08-03,2782.326092589932,32.12962229018764
2020-08-04,2784.552710820063,32.838547629504085
2020-08-05,2763.8898928724275,31.52576195617426
2020-08-06,2750.5144663263195,32.676934472606725
2020-08-07,2607.3807446128903,32.032544583297046
2020-08-08,2461.8940195189975,31.81742743153891
2020-08-09,2267.077204449991,29.740674599289388
2020-08-10,2007.6462347460542,29.32937226334727
2020-08-11,1719.319905046428,28.304210557508434
2020-08-12,1491.6935002881355,26.850899671201987
2020-08-13,1357.506611094188,26.15602236377766
2020-08-14,1235.8538673425974,27.4581080951192
2020-08-15,1107.3577954141178,27.17715472881128
2020-08-16,1093.1080479026937,28.67315004045074
2020-08-17,1144.123211440018,29.521175900298314
2020-08-18,1223.246561945221,30.31549992264788
2020-08-19,1643.7866865850835,33.91435677026596
2020-08-20,1671.171833931826,33.9335434397793
2020-08-21,1687.1530188144495,36.046236894486846
2020-08-22,1670.6012357355685,34.13641348138579
2020-08-23,1658.1718437984093,34.596896184152016
2020-08-24,1592.5932844734102,34.86553630737387
2020-08-25,1551.5789958727757,37.296941575106054
2020-08-26,1125.3802144439342,33.92942668757609
2020-08-27,1047.1784252771893,32.228363340477244
2020-08-28,998.297271050971,31.847427955940315
2020-08-29,880.5323250554447,31.707538360386295
2020-08-30,865.63130706059,35.09251036850446
2020-08-31,871.9264847211456,33.63401833599191
2020-09-01,855.8889299269009,30.953445103399197
2020-09-02,807.5945441009318,34.28454247031556
2020-09-03,742.9550840680364,38.0547724608473
2020-09-04,670.3464806401455,38.9209467019482
2020-09-05,624.1646349867118,40.44433961725338
2020-09-06,585.1817209291565,44.43851493819978
2020-09-07,531.5735539567584,47.21421720838443
2020-09-08,734.4511821840804,48.17600726586687
2020-09-09,667.7408058412489,47.96468100125066
2020-09-10,664.4228773516229,50.1945362203574
2020-09-11,629.5647421275339,50.47103454939889
2020-09-12,620.150216114699,52.72071580762577
2020-09-13,600.0588836263631,50.55817817339609
2020-09-14,,
2020-09-15,,
2020-09-16,,
2020-09-17,320.39212334600484,46.231651965786774
2020-09-18,318.75498527490913,45.231607461608434
2020-09-19,313.5169731067312,40.366329211396874
2020-09-20,306.1518140003235,40.154054106951946
2020-09-21,304.5197385732877,39.37727386005262
2020-09-22,303.89506252070515,37.29630462909453
2020-09-23,324.70782469664323,35.072473980052266
2020-09-24,333.839129025839,32.5741641746402
2020-09-25,300.7515645159729,30.611077842727873
2020-09-26,329.75494740601204,31.81248732379144
2020-09-27,343.2579647455813,30.816877550345147
2020-09-28,350.5931016377717,28.84274057409245
2020-09-29,351.63126368540685,29.120778655658032
2020-09-30,321.6418443369741,30.51757987147907
2020-10-01,312.3914205470486,32.15294522643853
2020-10-02,295.0861598754414,33.80481617240171
2020-10-03,261.0735194751882,35.03500332825734
2020-10-04,231.9784015953848,35.77190952676155
2020-10-05,179.87865818784934,37.526585546758334
2020-10-06,211.9973732295877,40.994452562731304
2020-10-07,179.14115065023375,44.39631972215312
2020-10-08,163.61683517468614,47.27639443929818
2020-10-09,165.82811170820955,46.72187171774101
2020-10-10,162.08965269543882,53.06672923758066
2020-10-11,151.6185407869802,52.90218527818911
2020-10-12,185.61031554455124,55.10200570918291
2020-10-13,162.35233543452793,56.339352751357744
2020-10-14,164.64158872282354,58.27221483042018
2020-10-15,157.74258049095334,59.20107410074194
2020-10-16,165.6217500538477,63.63007774450698
2020-10-17,101.12538292549927,63.98639150202235
2020-10-18,204.97663941258372,66.18862583382094
2020-10-19,240.59345543001913,74.2918331189482
2020-10-20,234.28285791572196,77.44739224560979
2020-10-21,262.26028328489366,76.89289691694346
2020-10-22,285.23136201818346,80.97746147229829
2020-10-23,324.0974097443773,81.6908845264876
2020-10-24,427.97909557044284,88.16519529968983
2020-10-25,357.67126582378984,91.63719591755756
2020-10-26,396.99614241262583,87.84990988974589
2020-10-27,425.8046844647435,88.48186781303394
2020-10-28,436.2472096056455,92.46344290254973
2020-10-29,506.29774183827686,95.91309475915651
2020-10-30,514.9202011236717,95.1548162702018
